"property_id","room_category","potential_revenue","actual_revenue","revenue_loss","percentage_loss"
19558,"RT3","16324200.00","13976280.00","2347920.00","14.38"
17564,"RT4","23062200.00","19767600.00","3294600.00","14.29"
17558,"RT1","10762700.00","9227192.00","1535508.00","14.27"
19562,"RT1","18167175.00","15573870.00","2593305.00","14.27"
16560,"RT2","21540960.00","18471600.00","3069360.00","14.25"
19561,"RT1","17933175.00","15379650.00","2553525.00","14.24"
18558,"RT4","19509200.00","16735580.00","2773620.00","14.22"
17559,"RT4","28976330.00","24867770.00","4108560.00","14.18"
17560,"RT1","21998340.00","18884892.00","3113448.00","14.15"
18561,"RT2","22571100.00","19408320.00","3162780.00","14.01"
19559,"RT1","11956425.00","10282740.00","1673685.00","14.00"
18560,"RT4","18469900.00","15887800.00","2582100.00","13.98"
19559,"RT3","25291800.00","21772080.00","3519720.00","13.92"
16559,"RT4","37022260.00","31882684.00","5139576.00","13.88"
16558,"RT3","8401680.00","7246512.00","1155168.00","13.75"
17562,"RT1","9690850.00","8359546.00","1331304.00","13.74"
17563,"RT4","38320720.00","33055174.00","5265546.00","13.74"
17561,"RT2","34458660.00","29732796.00","4725864.00","13.71"
17559,"RT3","21028320.00","18155592.00","2872728.00","13.66"
18562,"RT4","24057800.00","20772320.00","3285480.00","13.66"
19559,"RT4","4713900.00","4070940.00","642960.00","13.64"
17563,"RT3","20669280.00","17940984.00","2728296.00","13.20"
17562,"RT4","8905110.00","7730682.00","1174428.00","13.19"
16560,"RT4","9469600.00","8261428.00","1208172.00","12.76"
19558,"RT4","8946150.00","7824390.00","1121760.00","12.54"
16558,"RT4","5756240.00","5036444.00","719796.00","12.50"
16562,"RT4","8708840.00","7754432.00","954408.00","10.96"
