"property_id","booking_platform","total_bookings","total_revenue","avg_revenue_per_booking","cancellations","cancellation_rate","avg_rating"
17558,"tripster","366","5346381.00","14607.60","94","25.68","3.01"
17558,"journey","302","4315756.00","14290.58","88","29.14","3.17"
17558,"direct offline","228","3355120.00","14715.44","63","27.63","3.19"
17559,"others","2474","38029017.00","15371.47","604","24.41","4.32"
17559,"makeyourtrip","1221","18537480.00","15182.21","305","24.98","4.33"
17559,"logtrip","682","10287958.00","15084.98","163","23.90","4.39"
17559,"direct online","602","9233516.00","15338.07","135","22.43","4.26"
17559,"tripster","458","7104776.00","15512.61","102","22.27","4.37"
17559,"journey","395","5851655.00","14814.32","91","23.04","4.28"
17559,"direct offline","310","4952168.00","15974.74","75","24.19","4.27"
17560,"others","2448","35978392.00","14697.06","610","24.92","3.03"
17560,"makeyourtrip","1204","17236538.00","14316.06","336","27.91","3.02"
17560,"logtrip","662","9732058.00","14700.99","145","21.90","3.00"
17560,"direct online","612","9202406.00","15036.61","140","22.88","3.07"
17560,"tripster","433","6320447.00","14596.88","100","23.09","3.04"
17560,"journey","350","5082694.00","14521.98","94","26.86","3.04"
17560,"direct offline","304","4443681.00","14617.37","82","26.97","3.09"
17561,"others","2131","30489262.00","14307.49","525","24.64","4.28"
17561,"makeyourtrip","1013","14448980.00","14263.55","257","25.37","4.29"
17561,"logtrip","562","8157195.00","14514.58","124","22.06","4.35"
17561,"direct online","536","7628461.00","14232.20","125","23.32","4.30"
17561,"tripster","353","4881924.00","13829.81","101","28.61","4.36"
17561,"journey","331","4674439.00","14122.17","83","25.08","4.33"
17561,"direct offline","257","3638051.00","14155.84","56","21.79","4.20"
17562,"others","1389","20819237.00","14988.65","360","25.92","2.35"
17562,"makeyourtrip","688","10591850.00","15395.13","170","24.71","2.46"
17562,"logtrip","406","6010554.00","14804.32","111","27.34","2.30"
17562,"direct online","336","5021902.00","14946.14","90","26.79","2.48"
17562,"tripster","253","3931012.00","15537.60","65","25.69","2.27"
17562,"journey","190","2924850.00","15393.95","45","23.68","2.20"
17562,"direct offline","162","2614753.00","16140.45","30","18.52","2.35"
17563,"others","2596","41471483.00","15975.15","618","23.81","4.27"
17563,"makeyourtrip","1318","21274446.00","16141.46","321","24.36","4.23"
17563,"logtrip","687","11113631.00","16177.05","163","23.73","4.35"
17563,"direct online","595","9123322.00","15333.31","167","28.07","4.26"
17563,"tripster","436","7263403.00","16659.18","100","22.94","4.39"
17563,"journey","388","6136116.00","15814.73","93","23.97","4.38"
17563,"direct offline","317","5128679.00","16178.80","83","26.18","4.32"
17564,"others","1621","27556388.00","16999.62","383","23.63","2.31"
17564,"makeyourtrip","815","13242932.00","16249.00","200","24.54","2.24"
17564,"logtrip","432","6955958.00","16101.75","123","28.47","2.37"
17564,"direct online","404","6590050.00","16312.00","110","27.23","2.33"
17564,"tripster","289","4756804.00","16459.53","67","23.18","2.44"
17564,"journey","223","3794111.00","17013.95","54","24.22","2.17"
17564,"direct offline","198","3229252.00","16309.35","50","25.25","2.14"
18558,"others","1804","18390520.00","10194.30","477","26.44","3.09"
18558,"makeyourtrip","938","9904130.00","10558.77","226","24.09","3.09"
18558,"logtrip","463","4792260.00","10350.45","109","23.54","3.00"
18558,"direct online","456","4570610.00","10023.27","112","24.56","3.12"
18558,"tripster","316","3369930.00","10664.34","73","23.10","2.96"
18558,"journey","268","2887480.00","10774.18","62","23.13","3.07"
18558,"direct offline","230","2331580.00","10137.30","59","25.65","3.07"
18559,"others","2094","18880720.00","9016.58","514","24.55","2.30"
18559,"makeyourtrip","1050","9577810.00","9121.72","243","23.14","2.34"
18559,"logtrip","591","5515180.00","9331.95","136","23.01","2.37"
18559,"direct online","550","5012720.00","9114.04","139","25.27","2.40"
18559,"tripster","393","3599020.00","9157.81","102","25.95","2.32"
18559,"journey","305","2736780.00","8973.05","69","22.62","2.48"
18559,"direct offline","273","2521790.00","9237.33","77","28.21","2.12"
18560,"others","2765","25210990.00","9117.90","685","24.77","4.21"
18560,"makeyourtrip","1323","12420260.00","9387.95","301","22.75","4.32"
18560,"logtrip","743","6942590.00","9344.00","167","22.48","4.23"
18560,"direct online","616","5663720.00","9194.35","148","24.03","4.31"
18560,"tripster","456","4051510.00","8884.89","113","24.78","4.35"
18560,"journey","397","3590700.00","9044.58","100","25.19","4.28"
18560,"direct offline","338","3127430.00","9252.75","81","23.96","4.33"
18561,"others","2678","23203150.00","8664.36","663","24.76","4.26"
18561,"makeyourtrip","1292","11159980.00","8637.76","311","24.07","4.26"
18561,"logtrip","717","6158500.00","8589.26","172","23.99","4.20"
18561,"direct online","642","5558470.00","8658.05","157","24.45","4.28"
18561,"tripster","416","3677650.00","8840.50","97","23.32","4.21"
18561,"journey","402","3451810.00","8586.59","102","25.37","4.14"
18561,"direct offline","311","2830890.00","9102.54","59","18.97","4.29"
18562,"others","2979","28167580.00","9455.38","731","24.54","4.29"
18562,"makeyourtrip","1477","14139420.00","9573.07","369","24.98","4.29"
18562,"logtrip","777","7277880.00","9366.64","189","24.32","4.31"
18562,"direct online","728","6717710.00","9227.62","190","26.10","4.35"
18562,"tripster","543","5070100.00","9337.20","129","23.76","4.33"
18562,"journey","433","4095980.00","9459.54","100","23.09","4.25"
18562,"direct offline","396","3787240.00","9563.74","103","26.01","4.38"
18563,"others","1985","18854420.00","9498.45","534","26.90","3.05"
18563,"makeyourtrip","953","8962980.00","9405.02","242","25.39","3.08"
18563,"logtrip","500","4782510.00","9565.02","133","26.60","3.03"
18563,"direct online","431","4012830.00","9310.51","109","25.29","3.13"
18563,"tripster","329","3148290.00","9569.27","77","23.40","3.13"
18563,"journey","304","2917160.00","9595.92","71","23.36","3.06"
18563,"direct offline","226","2160590.00","9560.13","61","26.99","3.10"
19558,"others","1780","22462365.00","12619.31","423","23.76","2.36"
19558,"makeyourtrip","884","10848885.00","12272.49","234","26.47","2.45"
19558,"direct online","463","5861160.00","12659.09","99","21.38","2.39"
19558,"logtrip","443","5375940.00","12135.30","117","26.41","2.28"
19558,"tripster","323","3954450.00","12242.88","86","26.63","2.32"
19558,"journey","259","3234300.00","12487.64","58","22.39","2.30"
19558,"direct offline","219","2757240.00","12590.14","56","25.57","2.29"
19559,"others","1943","24922170.00","12826.64","450","23.16","3.04"
19559,"makeyourtrip","932","11667360.00","12518.63","250","26.82","3.00"
19559,"logtrip","507","6552750.00","12924.56","118","23.27","3.17"
19559,"direct online","450","5674995.00","12611.10","115","25.56","3.03"
19559,"tripster","360","4590570.00","12751.58","93","25.83","3.07"
19559,"journey","284","3616410.00","12733.84","77","27.11","2.99"
19559,"direct offline","229","2999205.00","13096.97","49","21.40","3.08"
19560,"others","2460","33528270.00","13629.38","648","26.34","4.32"
19560,"makeyourtrip","1121","15432555.00","13766.78","283","25.25","4.27"
19560,"logtrip","708","9669855.00","13657.99","201","28.39","4.14"
19560,"direct online","622","8681475.00","13957.36","158","25.40","4.29"
19560,"tripster","435","5992230.00","13775.24","120","27.59","4.33"
19560,"journey","329","4467270.00","13578.33","89","27.05","4.28"
19560,"direct offline","304","4104690.00","13502.27","78","25.66","4.28"
19561,"others","2349","29781855.00","12678.52","566","24.10","3.06"
19561,"makeyourtrip","1109","13752855.00","12401.13","294","26.51","3.08"
19561,"logtrip","600","7604730.00","12674.55","142","23.67","3.09"
19561,"direct online","566","7165950.00","12660.69","151","26.68","3.14"
19561,"tripster","436","5890035.00","13509.25","102","23.39","3.06"
19561,"journey","368","4784220.00","13000.60","94","25.54","3.10"
19561,"direct offline","308","3983715.00","12934.14","65","21.10","3.07"
19562,"others","2407","34097490.00","14165.97","605","25.14","4.28"
19562,"makeyourtrip","1189","16866900.00","14185.79","293","24.64","4.26"
19562,"direct online","601","8595105.00","14301.34","143","23.79","4.25"
19562,"logtrip","587","8285010.00","14114.16","135","23.00","4.26"
19562,"tripster","365","5189610.00","14218.11","86","23.56","4.28"
19562,"journey","365","5167890.00","14158.60","81","22.19","4.29"
19562,"direct offline","298","4241535.00","14233.34","71","23.83","4.37"
19563,"others","2265","28636665.00","12643.12","597","26.36","3.02"
19563,"makeyourtrip","1020","12892650.00","12639.85","260","25.49","2.97"
19563,"logtrip","610","7704540.00","12630.39","155","25.41","3.04"
19563,"direct online","535","6873645.00","12847.93","119","22.24","3.02"
19563,"tripster","387","4797255.00","12396.01","102","26.36","3.09"
19563,"journey","321","4084080.00","12722.99","71","22.12","3.04"
19563,"direct offline","275","3607170.00","13116.98","68","24.73","3.06"
